Treatment,Colony,Tub,Symbs.total,SA.cm2,Symbs.cm2,rel.chl,Nonsymb.pHi,Symb.pHi,Calcif.percent.change.day,prot.ug.cm2,Symbiont.Health,Epidermis.Integrity,Tissue.Integrity,Necrosis.Granularity,Overall.Health.Score,Gametes,Egg.Size,Egg.Count,Total.Egg.Area,Eggs.mm2,Epi.mm
Ambient,1,3,1568417.79,2.218088736,707103.2662,5892.474713,NA,NA,-0.237381837,247.6719694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,2,1,608971.243,7.453166826,81706.37492,7413.397557,NA,NA,0.091484522,257.3819488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,3,3,1284867.02,5.554138546,231335.0683,8578.051698,NA,NA,0.167123401,233.845704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,4,1,57113.2143,17.1396451,3332.228525,6547.255118,NA,NA,0.085989202,96.58472766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,5,2,3299152.78,3.251584278,1014629.331,7589.531509,7.358121919,6.818345319,-0.050877893,608.1837878,5,3,4,3,3.75,1,0.1025,4,0.41,39.46471992,0.015530303
Ambient,6,3,1496041.55,4.467970944,334836.9022,6591.622754,NA,NA,0.168918919,252.2873451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,7,1,4500236.2,3.7144776,1211539.464,7932.034279,NA,NA,0.023039544,245.5848614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,8,2,2957466.71,11.80234654,250582.9414,8061.035281,6.836211547,6.389350236,0.009869515,148.2841328,4,4,3,3,3.5,1,0.040333333,3,0.121,58.94605778,0.009796832
Ambient,9,3,3502137.5,5.731643424,611018.0346,7221.165146,NA,NA,0.01938338,146.4910486,4,5,5,4,4.5,0,0,0,0,0,0.012825222
Ambient,10,1,295388.191,7.19699785,41043.25125,8093.477099,7.076015686,7.207058704,0.265873641,161.5236502,4,4,4,3,3.75,0,0,0,0,0,0.008405647
Ambient,11,1,3903406.84,7.902407016,493951.6317,6861.378369,7.150897576,6.122702963,-0.036880409,157.9688953,4,3,4,4,3.75,1,0.065,3,0.195,58.21364013,0.011501377
Ambient,12,3,1524780.23,8.933755624,170676.286,7927.483383,NA,NA,-0.19363167,224.9014115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,13,1,1791792.38,6.049094794,296208.3487,6260.167094,NA,NA,-0.051237908,183.3972485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,14,2,1539643.3,13.12195198,117333.4046,7284.255575,NA,NA,0.082676873,93.88270932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,15,2,1303056.06,19.86717118,65588.40453,7774.242351,7.049475336,6.969800106,-0.044044795,119.6695484,4,3,4,3,3.5,1,0.0555,2,0.111,39.06436909,0.005724356
Ambient,16,3,708822.81,6.341691721,111771.8806,7643.924652,NA,NA,0.03914405,131.053595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,17,2,2721826.71,6.941221386,392125.0395,8650.981075,NA,NA,0.135034253,53.60875308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,18,3,3090546.8,10.03644475,307932.4281,7161.270712,7.417514939,6.617984918,-0.003907227,195.7896884,3,2,4,3,3,1,0.13,6,0.39,52.32389146,0.011488464
Ambient,19,1,1185917.89,3.839814504,308847.7031,7372.703664,NA,NA,-0.045888399,430.0669249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,20,2,1486160.67,12.32901118,120541.7571,6989.750962,NA,NA,-0.02933446,46.50381216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,21,1,1401279.14,23.33177578,60058.82936,6134.181582,NA,NA,0.041865138,56.09455777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,22,3,663714.558,5.098580584,130176.3397,8756.152292,NA,NA,0.208146822,265.602876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,23,3,3691880.01,7.902407016,467184.2392,6624.077372,NA,NA,0.227081098,97.39524517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,24,3,590958.543,9.77635065,60447.76463,7215.645841,NA,NA,0.181933238,190.1732458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,25,2,1230301.07,8.8044936,139735.5857,7874.445404,NA,NA,-0.016196646,164.5861411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,26,3,1790193.01,15.2537313,117360.9902,6872.780236,7.101784615,7.078405317,0.134129929,79.43879063,1,1,1,1,1,1,0.0865,2,0.173,38.15934842,0.002387511
Ambient,27,2,4387777.13,26.92885463,162939.6122,5889.766533,NA,NA,0.003100968,79.09354729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,28,2,1601565.69,10.29693135,155538.1535,7283.898484,NA,NA,0.173343606,64.78805574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,29,2,5559214.06,9.516649066,584156.6734,7809.461845,NA,NA,-0.019181069,237.8917279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,30,3,1001483.47,15.48170919,64688.17218,4283.000256,NA,NA,0.039740913,31.73150257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,31,1,1923479.29,12.85724586,149602.7462,7739.57571,NA,NA,-0.223528377,83.1601213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,32,3,648799.903,3.40156465,190735.726,7285.343961,7.047238957,6.643723816,-0.149749069,44.74235646,4,2,3,2,2.75,0,0,0,0,0,0.010516529
Ambient,33,1,1560791.7,7.5172704,207627.4521,6903.900158,7.319486632,NA,0.064769976,283.9997257,1,2,2,2,1.75,0,0,0,0,0,0.008241506
Ambient,34,1,909083.983,4.846042344,187593.0746,6199.564514,NA,NA,-0.042477603,119.0942845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambient,35,2,1936940.86,6.749646624,286969.2249,7651.791347,NA,NA,-0.176886792,156.8257585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,1,1,1972670.76,5.839508078,337814.5443,3098.801846,NA,NA,-0.180629972,40.42577802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,2,1,795403.48,6.049094794,131491.3234,3463.642313,NA,NA,0.085242408,234.2501503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,3,1,665169.636,8.869112346,74998.44517,4434.505306,NA,NA,0.250599042,53.55529212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,4,1,398156.18,15.2537313,26102.21539,3714.177982,NA,NA,0.114145775,74.80742934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,5,2,2352217.8,3.965249536,593208.0134,4426.602678,7.449949284,6.929716043,0.036268821,182.7460273,1,2,2,1,1.5,0,0,0,0,0,0.004855372
High,6,2,3660237.73,5.351511336,683963.3704,4732.960945,NA,NA,0.434773086,80.81315273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,7,1,5358581.5,6.049094794,885848.4918,3582.159462,NA,NA,-0.035522577,230.1909005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,8,2,1167366.08,12.13132795,96227.39449,4876.717199,6.708033019,6.15232411,0.117046819,60.06558293,2,3,2,3,2.5,0,0,0,0,0,0.012643818
High,9,3,1329613.83,14.25133191,93297.51338,4223.736091,NA,NA,0.119898161,76.15048647,3,4,4,4,3.75,0,0,0,0,0,0.006731456
High,10,2,721009.688,9.646450794,74743.52002,3734.07701,6.80940146,7.037588714,0.125163613,129.8592913,2,3,2,3,2.5,0,0,0,0,0,0.004069622
High,11,3,4139678.69,3.40156465,1216992.507,5169.84286,6.8705728,7.161524724,0.21842428,180.7760014,4,3,3,3,3.25,1,0.0576,5,1.8580608,55.81067344,0.005123967
High,12,2,1014862.3,4.405044906,230386.3687,4275.871083,NA,NA,0.213368261,160.8414574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,13,3,1080604.79,9.192574056,117551.9265,3740.317663,NA,NA,0.245271345,43.70958197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,14,1,1148506,6.23986,184059.5783,3613.648644,NA,NA,0.131923653,142.0659122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,15,3,2276707.88,13.98495763,162796.9094,4855.190613,6.818526977,6.755046402,0.327208918,62.09400233,2,2,2,2,2,0,0,0,0,0,0.008301194
High,16,3,1909345.77,1.784303706,1070078.913,4931.502717,NA,NA,0.469733432,179.3518565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,17,3,88580.0946,6.685837434,13248.91541,3764.824352,NA,NA,0.196159182,101.5677464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,18,2,957834.137,15.18673295,63070.45366,4538.555477,7.12891602,6.648976129,0.159452112,133.3119931,3,4,3,4,3.5,1,0.095,3,0.19,52.0226353,0.00980831
High,19,2,2747396.85,20.96917194,131020.7603,4158.57467,NA,NA,-0.120991577,44.08923669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,20,3,261556.989,36.23785585,7217.783251,3865.005499,NA,NA,0.076327291,42.06676322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,21,2,267740.906,18.70317659,14315.26376,4219.174596,NA,NA,-0.134626214,21.50704939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,22,1,1435552.32,4.090782696,350923.6317,4871.215746,NA,NA,-0.016917611,210.3507279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,23,3,169338.957,25.79349035,6565.18194,3648.377119,NA,NA,0.155363415,26.57702311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,24,1,74211.1967,21.10736362,3515.891328,3668.543919,NA,NA,0.26371308,45.81155927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,25,1,3249919.57,7.453166826,436045.4617,4002.604138,NA,NA,0.083892617,39.39115922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,26,1,350137.069,11.21172551,31229.54344,3866.390966,7.405683897,7.189411903,0.149334781,99.29979889,1,1,1,1,1,0,0,0,0,0,0.003833792
High,27,1,3040512.79,29.11053906,104447.1483,3434.145021,NA,NA,0.158465629,86.47392625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,28,3,2917484.61,9.063115776,321907.4634,3481.176696,NA,NA,0.359332696,40.55739832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,29,3,544759.721,14.45137022,37696.06016,3702.96288,NA,NA,0.034583461,40.64512759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,30,2,6394678.43,47.19091691,135506.5519,3524.468566,NA,NA,0.126954164,11.88470142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,31,1,1633490.87,9.257339994,176453.5894,3584.082277,NA,NA,-0.010714286,27.49199863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,32,2,2110249.44,7.902407016,267038.8194,3982.973093,7.406973962,7.125488209,0.196837369,105.3525213,1,2,2,1,1.5,0,0,0,0,0,0.006115702
High,33,2,4153168.07,5.92204065,701306.9169,3805.705197,6.961814986,NA,-0.111372104,259.2728435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,34,2,618060.514,10.26434906,60214.29223,3854.150584,NA,NA,0.291202673,21.16006489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,35,3,9765381.22,17.54627174,556550.2098,3422.085945,NA,NA,0.206486704,55.97136368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA